{'EPISODE END | Balance: 272.71| Max DD: 0.114| Trades: 368| Wins: 81| Losses: 103| Effectiveness (winrate): 44.02%'}
{'EPISODE END | Balance: 272.85| Max DD: 0.119| Trades: 218| Wins: 52| Losses: 57| Effectiveness (winrate): 47.71%'}
{'EPISODE END | Balance: 277.05| Max DD: 0.088| Trades: 242| Wins: 57| Losses: 64| Effectiveness (winrate): 47.11%'}
{'EPISODE END | Balance: 205.83| Max DD: 0.158| Trades: 250| Wins: 52| Losses: 73| Effectiveness (winrate): 41.60%'}
{'EPISODE END | Balance: 238.22| Max DD: 0.264| Trades: 384| Wins: 73| Losses: 119| Effectiveness (winrate): 38.02%'}
{'EPISODE END | Balance: 199.49| Max DD: 0.170| Trades: 180| Wins: 41| Losses: 49| Effectiveness (winrate): 45.56%'}
{'EPISODE END | Balance: 258.17| Max DD: 0.078| Trades: 154| Wins: 40| Losses: 37| Effectiveness (winrate): 51.95%'}
{'EPISODE END | Balance: 175.48| Max DD: 0.185| Trades: 150| Wins: 32| Losses: 43| Effectiveness (winrate): 42.67%'}
{'EPISODE END | Balance: 179.60| Max DD: 0.201| Trades: 142| Wins: 29| Losses: 42| Effectiveness (winrate): 40.85%'}
{'EPISODE END | Balance: 198.65| Max DD: 0.103| Trades: 96| Wins: 22| Losses: 26| Effectiveness (winrate): 45.83%'}
{'EPISODE END | Balance: 237.47| Max DD: 0.070| Trades: 196| Wins: 51| Losses: 47| Effectiveness (winrate): 52.04%'}
{'EPISODE END | Balance: 458.15| Max DD: 0.199| Trades: 958| Wins: 239| Losses: 240| Effectiveness (winrate): 49.90%'}
{'EPISODE END | Balance: 339.90| Max DD: 0.152| Trades: 494| Wins: 122| Losses: 125| Effectiveness (winrate): 49.39%'}
{'EPISODE END | Balance: 342.67| Max DD: 0.108| Trades: 416| Wins: 96| Losses: 112| Effectiveness (winrate): 46.15%'}
{'EPISODE END | Balance: 260.99| Max DD: 0.094| Trades: 358| Wins: 92| Losses: 87| Effectiveness (winrate): 51.40%'}
{'EPISODE END | Balance: 244.49| Max DD: 0.219| Trades: 656| Wins: 123| Losses: 205| Effectiveness (winrate): 37.50%'}
{'EPISODE END | Balance: 240.37| Max DD: 0.102| Trades: 164| Wins: 40| Losses: 42| Effectiveness (winrate): 48.78%'}
{'EPISODE END | Balance: 231.12| Max DD: 0.150| Trades: 308| Wins: 68| Losses: 86| Effectiveness (winrate): 44.16%'}
{'EPISODE END | Balance: 303.57| Max DD: 0.141| Trades: 280| Wins: 63| Losses: 77| Effectiveness (winrate): 45.00%'}
{'EPISODE END | Balance: 180.53| Max DD: 0.110| Trades: 120| Wins: 28| Losses: 32| Effectiveness (winrate): 46.67%'}
{'EPISODE END | Balance: 178.57| Max DD: 0.134| Trades: 102| Wins: 19| Losses: 32| Effectiveness (winrate): 37.25%'}
{'EPISODE END | Balance: 324.31| Max DD: 0.164| Trades: 432| Wins: 103| Losses: 113| Effectiveness (winrate): 47.69%'}
{'EPISODE END | Balance: 704.97| Max DD: 0.153| Trades: 1656| Wins: 405| Losses: 423| Effectiveness (winrate): 48.91%'}
{'EPISODE END | Balance: 200.08| Max DD: 0.173| Trades: 178| Wins: 41| Losses: 48| Effectiveness (winrate): 46.07%'}
{'EPISODE END | Balance: 173.81| Max DD: 0.188| Trades: 144| Wins: 33| Losses: 39| Effectiveness (winrate): 45.83%'}
{'EPISODE END | Balance: 189.06| Max DD: 0.188| Trades: 140| Wins: 28| Losses: 42| Effectiveness (winrate): 40.00%'}
{'EPISODE END | Balance: 190.36| Max DD: 0.125| Trades: 96| Wins: 19| Losses: 29| Effectiveness (winrate): 39.58%'}
{'EPISODE END | Balance: 319.58| Max DD: 0.085| Trades: 334| Wins: 83| Losses: 84| Effectiveness (winrate): 49.70%'}
{'EPISODE END | Balance: 300.92| Max DD: 0.113| Trades: 434| Wins: 113| Losses: 104| Effectiveness (winrate): 52.07%'}
{'EPISODE END | Balance: 821.42| Max DD: 0.095| Trades: 1680| Wins: 435| Losses: 405| Effectiveness (winrate): 51.79%'}
{'EPISODE END | Balance: 266.56| Max DD: 0.113| Trades: 212| Wins: 53| Losses: 53| Effectiveness (winrate): 50.00%'}
{'EPISODE END | Balance: 259.80| Max DD: 0.114| Trades: 380| Wins: 101| Losses: 89| Effectiveness (winrate): 53.16%'}
{'EPISODE END | Balance: 212.97| Max DD: 0.140| Trades: 182| Wins: 37| Losses: 54| Effectiveness (winrate): 40.66%'}
{'EPISODE END | Balance: 341.57| Max DD: 0.146| Trades: 506| Wins: 114| Losses: 139| Effectiveness (winrate): 45.06%'}
