time/time_elapsed,time/total_timesteps,train/loss,time/episodes,time/fps,train/n_updates,train/learning_rate,rollout/exploration_rate,eval/mean_ep_length,eval/mean_reward
,7500000,0.0678435955196619,,,7489996,0.00025,0.05,10000.0,375.74904566666663
,7550000,0.058170842938125134,,,7539996,0.00025,0.05,10000.0,2557.009842333333
31000,7582631,0.0566901471465826,1260,244,7572628,0.00025,0.05,,
,7600000,0.05910635646432638,,,7589996,0.00025,0.05,10000.0,2597.5160353333335
,7650000,0.0699961157515645,,,7639996,0.00025,0.05,10000.0,2674.528073
31444,7682631,0.05825845617800951,1270,244,7672628,0.00025,0.05,,
,7700000,0.0607402753084898,,,7689996,0.00025,0.05,10000.0,1961.2314326666667
,7750000,0.05778732057660818,,,7739996,0.00025,0.05,10000.0,2298.851067333333
31918,7782631,0.05377557221800089,1280,243,7772628,0.00025,0.05,,
,7800000,0.05646685138344765,,,7789996,0.00025,0.05,10000.0,2335.799696
,7850000,0.0601292597129941,,,7839996,0.00025,0.05,10000.0,1866.551845
32377,7882631,0.05500702001154423,1290,243,7872628,0.00025,0.05,,
,7900000,0.06531798653304577,,,7889996,0.00025,0.05,10000.0,3716.988727
,7950000,0.08666469343006611,,,7939996,0.00025,0.05,10000.0,2375.7263913333336
32809,7982631,0.06943402718752623,1300,243,7972628,0.00025,0.05,,
,8000000,0.0625587934628129,,,7989996,0.00025,0.05,10000.0,2498.868942
